value,label
-0.9005447860000001,Bias
-0.899803007,Bias
-0.9023590330000001,Bias
-0.899714553,Bias
-0.901006007,Bias
-0.902635717,Bias
-0.9011174679999999,Bias
-0.900902295,Bias
-0.903254533,Bias
-0.900783086,Bias
-0.902224445,Bias
-0.902024651,Bias
-0.9005102159999999,Bias
-0.9012289290000001,Bias
-0.9018554930000001,Bias
-0.8994954470000001,Bias
-0.9020554070000001,Bias
-0.9013865230000001,Bias
-0.9009484289999999,Bias
-0.9018824340000001,Bias
-0.900506401,Bias
-0.9024166109999999,Bias
-0.902578139,Bias
-0.9005217790000001,Bias
-0.9025703909999999,Bias
-0.901428843,Bias
-0.9004410740000001,Bias
-0.902935529,Bias
-0.899956667,Bias
-0.9020053390000001,Bias
-0.902931714,Bias
-0.898488486,Bias
-0.902681851,Bias
-0.9021668669999999,Bias
-0.89884969,Bias
-0.9039041040000001,Bias
-0.9009061100000001,Bias
-0.9005102159999999,Bias
-0.903719687,Bias
-0.90032568,Bias
-0.900844598,Bias
-0.902950907,Bias
-0.899345601,Bias
-0.903515959,Bias
-0.902520442,Bias
-0.900014424,Bias
-0.9030623670000001,Bias
-0.9013403890000001,Bias
-0.901194358,Bias
-0.903020048,Bias
-0.900156641,Bias
-0.9004564520000001,Bias
-0.9021475550000001,Bias
-0.8997990730000001,Bias
-0.9015133620000001,Bias
-0.901132846,Bias
-0.899810636,Bias
-0.902451301,Bias
-0.9014058349999999,Bias
-0.9014250280000001,Bias
-0.9024435519999999,Bias
-0.9002872940000001,Bias
-0.9024435519999999,Bias
-0.9017478470000001,Bias
-0.899841392,Bias
-0.9024551150000001,Bias
-0.9006524320000001,Bias
-0.9000374320000001,Bias
-0.902143741,Bias
-0.900660181,Bias
-0.901617193,Bias
-0.90175941,Bias
-0.900783086,Bias
-0.902389789,Bias
-0.9017362830000001,Bias
-0.9031892060000001,Bias
-0.902224445,Bias
-0.9015788080000001,Bias
-0.9027126070000001,Bias
-0.9021129849999999,Bias
-0.901663327,Bias
-0.902543449,Bias
-0.900202775,Bias
-0.9027509930000001,Bias
-0.9022090669999999,Bias
-0.900637054,Bias
-0.902239823,Bias
-0.900391126,Bias
-0.899849021,Bias
-0.9023205280000001,Bias
-0.900736952,Bias
-0.901497984,Bias
-0.9012520549999999,Bias
-0.900244975,Bias
-0.9022897719999999,Bias
-0.900540972,Bias
-0.900417948,Bias
-0.9028625730000001,Bias
-0.9007101300000001,Bias
-0.902482057,Bias
-0.9016018149999999,Bias
-0.9014326570000001,Bias
-0.901824737,Bias
-0.90082159,Bias
-0.901275063,Bias
-0.9025012490000001,Bias
-0.900660181,Bias
-0.9014903550000001,Bias
-0.9027741189999999,Bias
-0.9009484289999999,Bias
-0.9031008720000001,Bias
-0.902647281,Bias
-0.9005909200000001,Bias
-0.903542781,Bias
-0.901006007,Bias
-0.901275063,Bias
-0.902578139,Bias
-0.899952853,Bias
-0.9017132760000001,Bias
-0.901440406,Bias
-0.900248909,Bias
-0.901993895,Bias
-0.900614047,Bias
-0.900637054,Bias
-0.9014941690000001,Bias
-0.899676168,Bias
-0.902228379,Bias
-0.902389789,Bias
-0.9009791850000001,Bias
-0.9025819540000001,Bias
-0.900836968,Bias
-0.9014442210000001,Bias
-0.902635717,Bias
-0.9007101300000001,Bias
-0.9017977950000001,Bias
-0.901044512,Bias
-0.8996222850000001,Bias
-0.902385855,Bias
-0.901032948,Bias
-0.9012636180000001,Bias
-0.902739549,Bias
-0.901213551,Bias
-0.9022513870000001,Bias
-0.901940012,Bias
-0.9010752679999999,Bias
-0.902543449,Bias
-0.9007984640000001,Bias
-0.9020707849999999,Bias
-0.901501918,Bias
-0.8998951550000001,Bias
-0.9035851,Bias
-0.9013635160000001,Bias
-0.901194358,Bias
-0.9027779340000001,Bias
-0.8994724390000001,Bias
-0.9021015410000001,Bias
-0.9026165250000001,Bias
-0.899822199,Bias
-0.9021514890000001,Bias
-0.900075936,Bias
-0.901159787,Bias
-0.901213551,Bias
-0.900391126,Bias
-0.902024651,Bias
-0.9021936890000001,Bias
-0.9007562640000001,Bias
-0.9021245480000001,Bias
-0.900210404,Bias
-0.902412796,Bias
-0.9024051670000001,Bias
-0.899207199,Bias
-0.901501918,Bias
-0.900729322,Bias
-0.9007139439999999,Bias
-0.9026088950000001,Bias
-0.899822199,Bias
-0.901098275,Bias
-0.9019477610000001,Bias
