value,label
-1.001017468,Drift
-1.0016363,Drift
-1.001313379,Drift
-1.0014017290000001,Drift
-1.001386249,Drift
-1.0016513870000001,Drift
-1.0011017290000002,Drift
-1.0012053390000002,Drift
-1.000305921,Drift
-0.998895155,Drift
-0.99856079,Drift
-0.998207113,Drift
-0.998768188,Drift
-0.999283188,Drift
-0.9991140470000001,Drift
-1.0002362999999999,Drift
-0.999940201,Drift
-0.999402106,Drift
-1.000047761,Drift
-1.000278328,Drift
-1.000182143,Drift
-1.000658639,Drift
-0.999643946,Drift
-0.999955218,Drift
-0.9994899610000001,Drift
-0.998748138,Drift
-0.9986251299999999,Drift
-0.9988748909999999,Drift
-0.998302106,Drift
-0.9984442210000001,Drift
-0.997675456,Drift
-0.998075063,Drift
-0.997790646,Drift
-0.998451678,Drift
-0.998440012,Drift
-0.9984861629999999,Drift
-0.9975443070000001,Drift
-0.997690355,Drift
-0.9969869170000001,Drift
-0.996748515,Drift
-0.997271145,Drift
-0.9974595129999999,Drift
-0.9975670560000001,Drift
-0.9981126929999999,Drift
-0.997405441,Drift
-0.996555972,Drift
-0.9956180499999999,Drift
-0.9957179639999999,Drift
-0.9957062979999999,Drift
-0.995783086,Drift
-0.9954909200000001,Drift
-0.9959444089999999,Drift
-0.9959289290000001,Drift
-0.9961748739999999,Drift
-0.9962977950000002,Drift
-0.996678328,Drift
-0.996951095,Drift
-0.996397623,Drift
-0.995924737,Drift
-0.995744032,Drift
-0.9947407829999999,Drift
-0.9952865399999999,Drift
-0.9947137560000001,Drift
-0.994336952,Drift
-0.9943715390000001,Drift
-0.9940332399999999,Drift
-0.993218282,Drift
-0.9938639960000001,Drift
-0.994144512,Drift
-0.9952897719999999,Drift
-0.994640217,Drift
-0.995212796,Drift
-0.995274205,Drift
-0.994716799,Drift
-0.994566851,Drift
-0.9948858709999999,Drift
-0.9949549099999999,Drift
-0.9935788939999999,Drift
-0.993813276,Drift
-0.993025319,Drift
-0.993132862,Drift
-0.9928483260000001,Drift
-0.993075079,Drift
-0.9937936890000001,Drift
-0.9932939810000001,Drift
-0.9926404919999999,Drift
-0.9921292199999999,Drift
-0.9926672280000001,Drift
-0.9933130010000001,Drift
-0.9926210080000001,Drift
-0.9931667649999999,Drift
-0.9929936890000001,Drift
-0.9919712479999999,Drift
-0.9922402010000001,Drift
-0.99202874,Drift
-0.991160078,Drift
-0.9917941690000001,Drift
-0.9912367630000001,Drift
-0.990798566,Drift
-0.9908062120000001,Drift
-0.989929802,Drift
-0.989214742,Drift
-0.9898066919999999,Drift
-0.9907905430000001,Drift
