value,label
-1.000971437,NoFault
-1.000929236,NoFault
-1.000133514,NoFault
-0.999814451,NoFault
-0.999998987,NoFault
-1.000729322,NoFault
-1.001624823,NoFault
-1.003289104,NoFault
-1.003227711,NoFault
-1.004353881,NoFault
-1.003877282,NoFault
-1.002182245,NoFault
-1.002143741,NoFault
-1.002063036,NoFault
-1.000859976,NoFault
-1.000252724,NoFault
-0.998277009,NoFault
-0.997427642,NoFault
-0.997196972,NoFault
-0.997735083,NoFault
-0.999299467,NoFault
-1.000517964,NoFault
-1.000644803,NoFault
-1.001909256,NoFault
-1.002624154,NoFault
-1.002685666,NoFault
-1.002551198,NoFault
-1.003596663,NoFault
-1.003308415,NoFault
-1.002862573,NoFault
-1.001767039,NoFault
-1.000344992,NoFault
-0.998592198,NoFault
-0.997777402,NoFault
-0.999045789,NoFault
-0.9995839,NoFault
-0.999879777,NoFault
-1.001870871,NoFault
-1.002912521,NoFault
-1.003542781,NoFault
-1.005207062,NoFault
-1.003554344,NoFault
-1.00405407,NoFault
-1.003439069,NoFault
-1.00338912,NoFault
-1.003915668,NoFault
-1.004153967,NoFault
-1.003646612,NoFault
-1.001770973,NoFault
-1.00047946,NoFault
-0.998565257,NoFault
-0.997550547,NoFault
-0.999103367,NoFault
-0.998915017,NoFault
-0.999214828,NoFault
-1.000310421,NoFault
-1.001663327,NoFault
-1.000813842,NoFault
-1.000844598,NoFault
-0.999756873,NoFault
-1.001951575,NoFault
-1.001720905,NoFault
-1.002724171,NoFault
-1.003373742,NoFault
-1.003246903,NoFault
-1.001790166,NoFault
-1.00055635,NoFault
-0.998842061,NoFault
-0.998511493,NoFault
-0.998315513,NoFault
-0.999372423,NoFault
-0.999257147,NoFault
-0.999460876,NoFault
-0.999687612,NoFault
-1.001359701,NoFault
-1.002727985,NoFault
-1.004161596,NoFault
-1.004219294,NoFault
-1.00463438,NoFault
-1.00408864,NoFault
-1.004530668,NoFault
-1.003765702,NoFault
-1.003842592,NoFault
-1.001824737,NoFault
-1.000683188,NoFault
-1.000187397,NoFault
-0.998638332,NoFault
-0.998738229,NoFault
-0.999722183,NoFault
-0.999011219,NoFault
-1.000279665,NoFault
-1.001817107,NoFault
-1.003170013,NoFault
-1.002562761,NoFault
-1.00374651,NoFault
-1.003150821,NoFault
-1.002324462,NoFault
-1.002754927,NoFault
-1.001217484,NoFault
-1.000225782,NoFault
-1.000175834,NoFault
-1.000398755,NoFault
-1.001340389,NoFault
-1.000687003,NoFault
-0.998988092,NoFault
-0.99803108,NoFault
-0.997073948,NoFault
